x_flat, u_flat, x_post_0, x_post_1, x_post_2, x_post_3, HR_LB_0, HR_LB_1, HR_LB_2, HR_LB_3, HR_UB_0, HR_UB_1, HR_UB_2, HR_UB_3
444772, 44, 0.8697636676490275, 1.6346680241940368, -3.1095367302961527, 1.14113041078559, 0.91877, 1.64971, 3.12588, 1.06078, 0.91877, 1.64971, 3.12588, 1.06078
451686, 59, 0.3296937588402537, 1.5438280933105846, -2.770193409755113, 1.2982075166765963, 0.279737, 1.43064, -2.66692, 1.37363, 0.279737, 1.43064, -2.66692, 1.37363
457082, 40, -0.2661424811912017, 1.1095089556819904, -2.5527478535585173, 1.1596249224577269, -0.257734, 1.01629, -2.47795, 1.23388, -0.257734, 1.01629, -2.47795, 1.23388
413120, 58, -0.8146052607870304, 0.5168505828823005, -2.3430724595502936, 1.4065970581781755, -0.750985, 0.535708, -2.28331, 1.37363, -0.750985, 0.535708, -2.28331, 1.37363
459476, 41, -1.050631838901563, 0.007624657351620942, -1.8905258783193646, 1.1658589360296707, -1.06882, -0.11596, -1.7646, 1.23388, -1.06882, -0.11596, -1.7646, 1.23388
416812, 56, -1.3542529228515825, -0.7150884331278207, -2.2661947743350823, 1.39415097746765, -1.39124, -0.671377, -2.28438, 1.37363, -1.39124, -0.671377, -2.28438, 1.37363
459026, 53, -1.4970465212443609, -1.291306406111956, -1.195305121245962, 1.265783963117477, -1.43184, -1.36601, -1.03713, 1.33848, -1.43184, -1.36601, -1.03713, 1.33848
421804, 44, -0.9240477637642616, -1.664059269391461, -0.0244090986819181, 1.1408234408828233, -0.934167, -1.67738, -0.0741222, 1.06078, -0.934167, -1.67738, -0.0741222, 1.06078
428543, 61, -0.39203094056910137, -1.4824890631673133, 0.7643251593681308, 1.2958281769800564, -0.339059, -1.42376, 0.915186, 1.37363, -0.339059, -1.42376, 0.915186, 1.37363
480682, 38, 0.14375436413836717, -1.0327601786807001, 0.4462340309664056, 1.1614548094834796, 0.191877, -0.94481, 0.49336, 1.23388, 0.191877, -0.94481, 0.49336, 1.23388
431588, 59, 0.6978764877401872, -0.5104633003095682, 0.9253336358179968, 1.3943845924207892, 0.727694, -0.532648, 0.81627, 1.37363, 0.727694, -0.532648, 0.81627, 1.37363
479656, 41, 1.0609829170574432, 0.014432828488191517, 1.2309897362098698, 1.1564759186014888, 1.05305, 0.0718604, 1.2354, 1.23388, 1.05305, 0.0718604, 1.2354, 1.23388
437443, 57, 1.3384391672030325, 0.6863776630705957, 1.0366445157536561, 1.395474001991547, 1.39034, 0.677819, 1.01033, 1.37363, 1.39034, 0.677819, 1.01033, 1.37363
481476, 53, 1.4108351266678067, 1.2879430273608892, 2.0641044298526863, 1.2685117783732578, 1.39291, 1.36673, 2.16287, 1.33848, 1.39291, 1.36673, 2.16287, 1.33848
444772, 44, 0.8634490344887306, 1.6344326259995632, -3.099126678452279, 1.1394882890723992, 0.91877, 1.64971, 3.12588, 1.06078, 0.91877, 1.64971, 3.12588, 1.06078
451686, 59, 0.3147962877871393, 1.5379374076389163, -2.759896542750917, 1.30241258025879, 0.279737, 1.43064, -2.66692, 1.37363, 0.279737, 1.43064, -2.66692, 1.37363
457082, 40, -0.2743907137515445, 1.1039894237515415, -2.550959687767227, 1.1569165504968968, -0.257734, 1.01629, -2.47795, 1.23388, -0.257734, 1.01629, -2.47795, 1.23388
413120, 58, -0.7666696481989956, 0.565459299023406, -2.3553728194010617, 1.3957460813517295, -0.750985, 0.535708, -2.28331, 1.37363, -0.750985, 0.535708, -2.28331, 1.37363
459476, 41, -1.042156050007266, 0.03251733204120493, -1.9074280188905848, 1.173244571100742, -1.06882, -0.11596, -1.7646, 1.23388, -1.06882, -0.11596, -1.7646, 1.23388
416812, 56, -1.3593220987323296, -0.7211270030654008, -2.2720915268888615, 1.3954525550883141, -1.39124, -0.671377, -2.28438, 1.37363, -1.39124, -0.671377, -2.28438, 1.37363
459026, 53, -1.4988475082628228, -1.2866823111115733, -1.2034803085910932, 1.266411631516001, -1.43184, -1.36601, -1.03713, 1.33848, -1.43184, -1.36601, -1.03713, 1.33848
