Format Version,1.23,Take Name,FW_85,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-03 04.20.39.723 PM,Total Frames in Take,817,Total Exported Frames,817,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133333,-0.009473,0.413647,-0.001376,-0.910387,2.013304,0.219339,-1.920876,0.001556,2.058027,0.214155,-1.990897,0.544915,2.088441,0.214768,-1.956305,0.834833,1.936596,0.224104,-1.885112,0.635779,1.970150,0.224331,-1.851189,0.835570,,,,,,,,,,,,,,,,,,,,,2.059311,0.213827,-1.992196,2.088985,0.214810,-1.956679,1.935578,0.224338,-1.884093,1.969615,0.224306,-1.850816,,,,,,,,,,,,
17,0.141667,-0.009558,0.413608,-0.001330,-0.910404,2.013299,0.219329,-1.920876,0.001563,2.058016,0.214157,-1.990902,0.530482,2.088434,0.214763,-1.956312,0.835712,1.936595,0.224088,-1.885104,0.628352,1.970152,0.224308,-1.851184,0.839207,,,,,,,,,,,,,,,,,,,,,2.059324,0.213805,-1.992203,2.088969,0.214811,-1.956690,1.935562,0.224339,-1.884065,1.969621,0.224277,-1.850822,,,,,,,,,,,,
18,0.150000,-0.009600,0.413521,-0.001192,-0.910443,2.013267,0.219339,-1.920829,0.001579,2.057969,0.214171,-1.990865,0.514429,2.088393,0.214763,-1.956281,0.825574,1.936571,0.224107,-1.885042,0.651453,1.970134,0.224313,-1.851128,0.829471,,,,,,,,,,,,,,,,,,,,,2.059330,0.213812,-1.992203,2.088965,0.214807,-1.956679,1.935582,0.224332,-1.884085,1.969577,0.224292,-1.850734,,,,,,,,,,,,
19,0.158333,-0.009466,0.413663,-0.001395,-0.910380,2.013324,0.219335,-1.920898,0.001538,2.058050,0.214149,-1.990918,0.514429,2.088464,0.214764,-1.956324,0.825574,1.936616,0.224098,-1.885137,0.651453,1.970168,0.224327,-1.851213,0.829471,,,,,,,,,,,,,,,,,,,,,2.059299,0.213822,-1.992175,2.089000,0.214811,-1.956703,1.935602,0.224343,-1.884108,1.969629,0.224296,-1.850838,,,,,,,,,,,,
20,0.166667,-0.009686,0.413653,-0.001192,-0.910382,2.013324,0.219339,-1.920885,0.001525,2.058047,0.214185,-1.990909,0.549445,2.088461,0.214774,-1.956316,0.835296,1.936617,0.224097,-1.885120,0.633699,1.970170,0.224300,-1.851196,0.835528,,,,,,,,,,,,,,,,,,,,,2.059328,0.213828,-1.992211,2.088973,0.214830,-1.956659,1.935616,0.224346,-1.884106,1.969665,0.224264,-1.850857,,,,,,,,,,,,
21,0.175000,-0.009564,0.413501,-0.001339,-0.910453,2.013281,0.219332,-1.920852,0.001556,2.057981,0.214161,-1.990889,0.525881,2.088407,0.214768,-1.956306,0.827261,1.936585,0.224089,-1.885062,0.661044,1.970150,0.224309,-1.851150,0.827406,,,,,,,,,,,,,,,,,,,,,2.059302,0.213824,-1.992208,2.088976,0.214810,-1.956697,1.935624,0.224303,-1.884130,1.969590,0.224289,-1.850747,,,,,,,,,,,,
22,0.183333,-0.009586,0.413642,-0.001324,-0.910388,2.013302,0.219331,-1.920873,0.001502,2.058024,0.214164,-1.990896,0.540005,2.088439,0.214768,-1.956304,0.849732,1.936595,0.224088,-1.885107,0.642135,1.970149,0.224306,-1.851184,0.850052,,,,,,,,,,,,,,,,,,,,,2.059299,0.213822,-1.992178,2.088934,0.214822,-1.956640,1.935606,0.224329,-1.884100,1.969650,0.224271,-1.850854,,,,,,,,,,,,
23,0.191667,-0.009481,0.413567,-0.001474,-0.910423,2.013312,0.219333,-1.920887,0.001525,2.058023,0.214152,-1.990916,0.540005,2.088444,0.214773,-1.956329,0.849732,1.936610,0.224087,-1.885110,0.642135,1.970169,0.224322,-1.851193,0.850052,,,,,,,,,,,,,,,,,,,,,2.059324,0.213817,-1.992204,2.088972,0.214820,-1.956695,1.935621,0.224314,-1.884138,1.969644,0.224295,-1.850824,,,,,,,,,,,,
24,0.200000,-0.009636,0.413649,-0.001387,-0.910385,2.013290,0.219343,-1.920854,0.001499,2.058015,0.214185,-1.990877,0.534741,2.088429,0.214793,-1.956284,0.838950,1.936582,0.224086,-1.885089,0.648757,1.970136,0.224308,-1.851166,0.839324,,,,,,,,,,,,,,,,,,,,,2.059301,0.213817,-1.992190,2.088919,0.214855,-1.956602,1.935615,0.224332,-1.884101,1.969648,0.224269,-1.850850,,,,,,,,,,,,
25,0.208333,-0.009534,0.413536,-0.001270,-0.910437,2.013270,0.219339,-1.920836,0.001574,2.057975,0.214161,-1.990869,0.517850,2.088398,0.214763,-1.956285,0.826390,1.936572,0.224107,-1.885052,0.652748,1.970134,0.224322,-1.851138,0.829775,,,,,,,,,,,,,,,,,,,,,2.059316,0.213798,-1.992207,2.088970,0.214810,-1.956676,1.935591,0.224337,-1.884097,1.969579,0.224298,-1.850744,,,,,,,,,,,,
