Format Version,1.23,Take Name,BW_60,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-04 04.41.16.277 PM,Total Frames in Take,902,Total Exported Frames,902,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
27,0.225000,-0.007331,0.943653,0.000796,0.330854,1.996763,0.217729,-1.910517,0.001571,1.965327,0.210760,-1.833749,0.699433,1.929240,0.211001,-1.862380,0.741287,2.065766,0.224691,-1.959259,0.788626,2.026718,0.224464,-1.986679,0.591331,1.964465,0.210641,-1.832920,1.928698,0.210931,-1.861501,2.066313,0.224779,-1.959898,2.027723,0.224577,-1.987963,2.268561,0.043504,0.426696,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.233333,-0.007455,0.943631,0.000800,0.330916,1.996778,0.217720,-1.910546,0.001517,1.965333,0.210748,-1.833782,0.699726,1.929250,0.210979,-1.862417,0.755149,2.065786,0.224694,-1.959280,0.795967,2.026742,0.224457,-1.986705,0.610592,1.964478,0.210648,-1.832944,1.928739,0.210893,-1.861586,2.066309,0.224763,-1.959903,2.027700,0.224593,-1.987925,2.268552,0.043517,0.426677,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.241667,-0.007473,0.943625,0.000781,0.330930,1.996754,0.217752,-1.910507,0.001525,1.965307,0.210784,-1.833744,0.698034,1.929224,0.211013,-1.862381,0.754849,2.065763,0.224726,-1.959239,0.795026,2.026720,0.224486,-1.986666,0.606446,1.964450,0.210674,-1.832900,1.928708,0.210937,-1.861550,2.066290,0.224804,-1.959863,2.027688,0.224609,-1.987901,2.268547,0.043519,0.426669,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.250000,-0.007802,0.943603,0.000732,0.330986,1.996763,0.217745,-1.910518,0.001507,1.965311,0.210782,-1.833756,0.699975,1.929232,0.210980,-1.862397,0.765738,2.065774,0.224744,-1.959243,0.803105,2.026734,0.224473,-1.986674,0.601105,1.964453,0.210672,-1.832924,1.928751,0.210908,-1.861596,2.066283,0.224819,-1.959840,2.027708,0.224597,-1.987933,2.268556,0.043499,0.426686,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.258333,-0.007664,0.943616,0.000750,0.330952,1.996735,0.217757,-1.910489,0.001517,1.965287,0.210792,-1.833726,0.699975,1.929206,0.211003,-1.862364,0.765738,2.065745,0.224745,-1.959218,0.803105,2.026703,0.224487,-1.986647,0.601105,1.964449,0.210680,-1.832919,1.928704,0.210935,-1.861534,2.066254,0.224826,-1.959823,2.027697,0.224603,-1.987914,2.268557,0.043522,0.426685,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.266667,-0.007674,0.943613,0.000728,0.330961,1.996753,0.217747,-1.910511,0.001531,1.965303,0.210785,-1.833748,0.707887,1.929222,0.210995,-1.862387,0.756824,2.065763,0.224733,-1.959239,0.801383,2.026721,0.224473,-1.986669,0.596123,1.964438,0.210677,-1.832907,1.928717,0.210917,-1.861558,2.066292,0.224808,-1.959853,2.027688,0.224601,-1.987923,2.268555,0.043498,0.426669,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.275000,-0.007382,0.943626,0.000764,0.330929,1.996740,0.217754,-1.910490,0.001546,1.965292,0.210789,-1.833727,0.697241,1.929209,0.211025,-1.862363,0.756682,2.065750,0.224717,-1.959222,0.796744,2.026707,0.224485,-1.986648,0.602782,1.964437,0.210673,-1.832891,1.928675,0.210955,-1.861507,2.066285,0.224802,-1.959858,2.027692,0.224598,-1.987898,2.268559,0.043502,0.426681,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.283333,-0.007384,0.943632,0.000788,0.330914,1.996765,0.217732,-1.910519,0.001538,1.965320,0.210764,-1.833755,0.694847,1.929237,0.211000,-1.862390,0.753527,2.065775,0.224699,-1.959252,0.793723,2.026730,0.224467,-1.986678,0.605174,1.964446,0.210653,-1.832911,1.928727,0.210923,-1.861550,2.066308,0.224776,-1.959877,2.027696,0.224591,-1.987921,2.268558,0.043499,0.426688,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.291667,-0.007435,0.943634,0.000815,0.330907,1.996773,0.217720,-1.910529,0.001529,1.965330,0.210746,-1.833765,0.693131,1.929246,0.210979,-1.862400,0.756439,2.065781,0.224695,-1.959264,0.793517,2.026736,0.224460,-1.986689,0.612370,1.964456,0.210645,-1.832910,1.928740,0.210894,-1.861572,2.066318,0.224764,-1.959888,2.027677,0.224595,-1.987914,2.268560,0.043517,0.426672,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.300000,-0.007177,0.943644,0.000781,0.330883,1.996765,0.217723,-1.910522,0.001564,1.965322,0.210757,-1.833757,0.693178,1.929237,0.211011,-1.862390,0.741931,2.065773,0.224668,-1.959260,0.783907,2.026727,0.224455,-1.986682,0.607200,1.964445,0.210652,-1.832905,1.928695,0.210924,-1.861515,2.066328,0.224743,-1.959918,2.027696,0.224587,-1.987911,2.268546,0.043517,0.426667,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.308333,-0.007265,0.943623,0.000879,0.330941,1.996782,0.217721,-1.910549,0.001515,1.965332,0.210739,-1.833789,0.710909,1.929250,0.210988,-1.862426,0.748046,2.065795,0.224688,-1.959277,0.796571,2.026752,0.224470,-1.986705,0.605793,1.964511,0.210626,-1.832982,1.928719,0.210918,-1.861572,2.066317,0.224771,-1.959896,2.027719,0.224582,-1.987945,2.268556,0.043506,0.426672,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.316667,-0.007531,0.943630,0.000813,0.330916,1.996761,0.217745,-1.910515,0.001528,1.965317,0.210771,-1.833751,0.710909,1.929234,0.210996,-1.862386,0.748046,2.065768,0.224729,-1.959249,0.796571,2.026724,0.224485,-1.986674,0.605793,1.964460,0.210659,-1.832909,1.928726,0.210923,-1.861565,2.066292,0.224807,-1.959861,2.027703,0.224607,-1.987936,2.268546,0.043517,0.426668,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.325000,-0.007451,0.943624,0.000798,0.330935,1.996775,0.217742,-1.910541,0.001532,1.965328,0.210771,-1.833779,0.698163,1.929245,0.211002,-1.862416,0.757901,2.065786,0.224716,-1.959272,0.797630,2.026742,0.224479,-1.986699,0.599446,1.964458,0.210665,-1.832927,1.928734,0.210922,-1.861588,2.066315,0.224789,-1.959895,2.027713,0.224610,-1.987942,2.268554,0.043514,0.426677,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.333333,-0.007611,0.943615,0.000729,0.330956,1.996787,0.217738,-1.910538,0.001548,1.965338,0.210777,-1.833775,0.694483,1.929257,0.210992,-1.862414,0.756082,2.065798,0.224719,-1.959267,0.794696,2.026756,0.224465,-1.986696,0.604463,1.964475,0.210659,-1.832946,1.928739,0.210925,-1.861570,2.066319,0.224803,-1.959892,2.027768,0.224577,-1.987962,2.268542,0.043524,0.426661,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.341667,-0.007558,0.943612,0.000803,0.330967,1.996776,0.217767,-1.910520,0.001510,1.965324,0.210795,-1.833759,0.699480,1.929244,0.211016,-1.862399,0.751934,2.065788,0.224753,-1.959247,0.795493,2.026747,0.224506,-1.986676,0.593706,1.964499,0.210681,-1.832953,1.928733,0.210950,-1.861566,2.066299,0.224835,-1.959852,2.027729,0.224618,-1.987934,2.268551,0.043503,0.426658,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.350000,-0.007678,0.943615,0.000812,0.330954,1.996777,0.217764,-1.910520,0.001501,1.965329,0.210788,-1.833758,0.709410,1.929248,0.211000,-1.862396,0.763713,2.065786,0.224762,-1.959249,0.806068,2.026744,0.224504,-1.986677,0.596670,1.964492,0.210673,-1.832959,1.928767,0.210937,-1.861585,2.066280,0.224844,-1.959841,2.027739,0.224615,-1.987943,2.268547,0.043493,0.426676,,,,,,,,,,,,,,,,,,,,,,,,,,,
