Format Version,1.23,Take Name,FW_95,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-03 04.22.19.398 PM,Total Frames in Take,684,Total Exported Frames,684,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133333,-0.009233,0.378072,-0.000529,-0.925730,2.010370,0.219306,-1.939073,0.001731,2.049532,0.214065,-2.012346,0.633120,2.082534,0.214647,-1.980213,0.764538,1.936667,0.224159,-1.897478,0.524846,1.972747,0.224351,-1.866255,0.775255,,,,,,,,,,,,,,,,,,,,,2.050423,0.213906,-2.013473,2.083245,0.214625,-1.980862,1.935443,0.224369,-1.896089,1.972115,0.224368,-1.865603,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,-0.009353,0.378103,-0.000397,-0.925716,2.010375,0.219300,-1.939083,0.001714,2.049540,0.214077,-2.012355,0.650995,2.082541,0.214643,-1.980220,0.764824,1.936670,0.224151,-1.897492,0.521045,1.972748,0.224327,-1.866266,0.779012,,,,,,,,,,,,,,,,,,,,,2.050398,0.213918,-2.013445,2.083231,0.214623,-1.980859,1.935417,0.224378,-1.896060,1.972137,0.224340,-1.865628,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,-0.009193,0.378094,-0.000551,-0.925721,2.010369,0.219310,-1.939078,0.001749,2.049534,0.214064,-2.012349,0.641108,2.082535,0.214649,-1.980214,0.763377,1.936664,0.224166,-1.897487,0.511218,1.972742,0.224362,-1.866262,0.773321,,,,,,,,,,,,,,,,,,,,,2.050415,0.213897,-2.013470,2.083227,0.214630,-1.980859,1.935387,0.224406,-1.896026,1.972118,0.224374,-1.865605,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,-0.009174,0.378007,-0.000589,-0.925757,2.010337,0.219313,-1.939046,0.001745,2.049489,0.214064,-2.012324,0.641108,2.082495,0.214653,-1.980195,0.763377,1.936640,0.224168,-1.897442,0.511218,1.972724,0.224367,-1.866224,0.773321,,,,,,,,,,,,,,,,,,,,,2.050402,0.213897,-2.013475,2.083203,0.214633,-1.980843,1.935413,0.224385,-1.896047,1.972087,0.224383,-1.865568,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,-0.009270,0.378071,-0.000550,-0.925730,2.010341,0.219315,-1.939056,0.001720,2.049503,0.214081,-2.012329,0.630314,2.082506,0.214663,-1.980196,0.760107,1.936638,0.224161,-1.897461,0.532544,1.972718,0.224354,-1.866238,0.771526,,,,,,,,,,,,,,,,,,,,,2.050387,0.213915,-2.013455,2.083200,0.214645,-1.980828,1.935403,0.224384,-1.896060,1.972104,0.224366,-1.865599,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,-0.009289,0.378042,-0.000519,-0.925742,2.010331,0.219323,-1.939030,0.001696,2.049488,0.214092,-2.012306,0.641858,2.082493,0.214671,-1.980175,0.765245,1.936631,0.224170,-1.897429,0.541156,1.972713,0.224360,-1.866209,0.779852,,,,,,,,,,,,,,,,,,,,,2.050378,0.213934,-2.013417,2.083185,0.214650,-1.980808,1.935415,0.224377,-1.896071,1.972103,0.224375,-1.865574,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,-0.009221,0.378048,-0.000526,-0.925740,2.010334,0.219335,-1.939026,0.001766,2.049491,0.214093,-2.012301,0.623098,2.082495,0.214675,-1.980169,0.761044,1.936633,0.224190,-1.897427,0.525843,1.972715,0.224382,-1.866206,0.769886,,,,,,,,,,,,,,,,,,,,,2.050418,0.213921,-2.013478,2.083201,0.214655,-1.980814,1.935395,0.224413,-1.896008,1.972073,0.224398,-1.865546,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,-0.009213,0.378056,-0.000621,-0.925737,2.010327,0.219347,-1.939007,0.001744,2.049487,0.214105,-2.012281,0.623098,2.082490,0.214695,-1.980149,0.761044,1.936625,0.224193,-1.897411,0.525843,1.972706,0.224394,-1.866189,0.769886,,,,,,,,,,,,,,,,,,,,,2.050393,0.213934,-2.013427,2.083188,0.214677,-1.980789,1.935377,0.224422,-1.895995,1.972079,0.224407,-1.865535,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,-0.009275,0.378129,-0.000383,-0.925706,2.010365,0.219339,-1.939058,0.001768,2.049534,0.214103,-2.012328,0.632246,2.082532,0.214671,-1.980190,0.763299,1.936658,0.224202,-1.897472,0.524744,1.972734,0.224379,-1.866244,0.773662,,,,,,,,,,,,,,,,,,,,,2.050418,0.213939,-2.013465,2.083233,0.214649,-1.980838,1.935370,0.224437,-1.895997,1.972102,0.224395,-1.865576,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,-0.009222,0.378105,-0.000470,-0.925717,2.010339,0.219343,-1.939018,0.001751,2.049505,0.214099,-2.012288,0.642995,2.082505,0.214677,-1.980152,0.757044,1.936634,0.224204,-1.897428,0.519576,1.972711,0.224391,-1.866202,0.770516,,,,,,,,,,,,,,,,,,,,,2.050379,0.213942,-2.013407,2.083221,0.214653,-1.980809,1.935375,0.224423,-1.895992,1.972077,0.224408,-1.865539,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.216667,-0.009194,0.378071,-0.000552,-0.925731,2.010319,0.219356,-1.938992,0.001743,2.049480,0.214109,-2.012264,0.624969,2.082483,0.214694,-1.980131,0.765690,1.936616,0.224211,-1.897397,0.529522,1.972696,0.224407,-1.866174,0.774957,,,,,,,,,,,,,,,,,,,,,2.050405,0.213935,-2.013432,2.083175,0.214677,-1.980763,1.935378,0.224437,-1.895998,1.972071,0.224420,-1.865526,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.225000,-0.009192,0.378051,-0.000432,-0.925739,2.010319,0.219355,-1.939003,0.001756,2.049477,0.214107,-2.012278,0.624969,2.082480,0.214682,-1.980146,0.765690,1.936620,0.224224,-1.897405,0.529522,1.972701,0.224409,-1.866183,0.774957,,,,,,,,,,,,,,,,,,,,,2.050350,0.213953,-2.013394,2.083214,0.214656,-1.980817,1.935375,0.224437,-1.895985,1.972055,0.224429,-1.865511,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.233333,-0.009221,0.378038,-0.000576,-0.925744,2.010313,0.219360,-1.939002,0.001744,2.049469,0.214119,-2.012278,0.643616,2.082474,0.214705,-1.980147,0.751450,1.936613,0.224210,-1.897402,0.525064,1.972695,0.224407,-1.866182,0.766853,,,,,,,,,,,,,,,,,,,,,2.050360,0.213957,-2.013415,2.083196,0.214684,-1.980799,1.935367,0.224425,-1.896017,1.972065,0.224423,-1.865517,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.241667,-0.009256,0.378057,-0.000517,-0.925736,2.010317,0.219342,-1.939015,0.001728,2.049476,0.214106,-2.012290,0.651782,2.082479,0.214686,-1.980157,0.759864,1.936615,0.224194,-1.897418,0.519874,1.972696,0.224384,-1.866196,0.775775,,,,,,,,,,,,,,,,,,,,,2.050324,0.213948,-2.013383,2.083188,0.214665,-1.980805,1.935359,0.224420,-1.895983,1.972077,0.224398,-1.865547,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.250000,-0.009158,0.378025,-0.000606,-0.925750,2.010288,0.219349,-1.938976,0.001740,2.049443,0.214097,-2.012252,0.632669,2.082448,0.214688,-1.980122,0.755874,1.936589,0.224204,-1.897375,0.539589,1.972672,0.224405,-1.866156,0.769473,,,,,,,,,,,,,,,,,,,,,2.050351,0.213932,-2.013396,2.083170,0.214667,-1.980779,1.935373,0.224415,-1.896009,1.972031,0.224421,-1.865493,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.258333,-0.009150,0.378053,-0.000648,-0.925738,2.010295,0.219341,-1.938996,0.001754,2.049454,0.214090,-2.012269,0.632669,2.082458,0.214685,-1.980138,0.755874,1.936593,0.224193,-1.897400,0.539589,1.972674,0.224398,-1.866178,0.769473,,,,,,,,,,,,,,,,,,,,,2.050379,0.213913,-2.013444,2.083161,0.214667,-1.980775,1.935357,0.224420,-1.895999,1.972041,0.224411,-1.865523,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.266667,-0.009241,0.378106,-0.000424,-0.925716,2.010312,0.219339,-1.939024,0.001760,2.049478,0.214098,-2.012295,0.639620,2.082478,0.214671,-1.980159,0.758714,1.936607,0.224202,-1.897434,0.515069,1.972685,0.224384,-1.866208,0.770182,,,,,,,,,,,,,,,,,,,,,2.050357,0.213936,-2.013426,2.083189,0.214648,-1.980811,1.935340,0.224430,-1.895983,1.972050,0.224400,-1.865543,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.275000,-0.009183,0.378050,-0.000543,-0.925739,2.010315,0.219327,-1.939024,0.001739,2.049473,0.214079,-2.012299,0.627652,2.082477,0.214664,-1.980167,0.759372,1.936614,0.224185,-1.897427,0.540996,1.972695,0.224380,-1.866205,0.771302,,,,,,,,,,,,,,,,,,,,,2.050395,0.213918,-2.013457,2.083189,0.214640,-1.980814,1.935405,0.224387,-1.896060,1.972057,0.224400,-1.865551,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.283333,-0.009105,0.378062,-0.000648,-0.925735,2.010300,0.219351,-1.938994,0.001772,2.049461,0.214092,-2.012266,0.627652,2.082464,0.214689,-1.980134,0.759372,1.936598,0.224209,-1.897399,0.540996,1.972678,0.224416,-1.866177,0.771302,,,,,,,,,,,,,,,,,,,,,2.050399,0.213921,-2.013437,2.083177,0.214667,-1.980793,1.935343,0.224431,-1.895992,1.972032,0.224433,-1.865500,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.291667,-0.009310,0.378093,-0.000375,-0.925721,2.010323,0.219340,-1.939025,0.001729,2.049487,0.214110,-2.012297,0.622458,2.082488,0.214676,-1.980163,0.757056,1.936620,0.224199,-1.897432,0.525336,1.972698,0.224375,-1.866207,0.765921,,,,,,,,,,,,,,,,,,,,,2.050361,0.213950,-2.013406,2.083179,0.214655,-1.980803,1.935351,0.224427,-1.895998,1.972085,0.224390,-1.865558,,,,,,,,,,,,,,,,,,,,,,,,,,,
