Format Version,1.23,Take Name,BW_50,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-04 04.39.48.294 PM,Total Frames in Take,1026,Total Exported Frames,1026,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133333,-0.005351,0.934742,0.001451,0.355284,1.992414,0.217640,-1.897200,0.001465,1.957008,0.210556,-1.822191,0.714854,1.922459,0.210997,-1.852657,0.750759,2.063879,0.224513,-1.942269,0.787199,2.026309,0.224493,-1.971682,0.655282,1.956170,0.210475,-1.821421,1.921880,0.210895,-1.851833,2.064472,0.224574,-1.942893,2.027178,0.224628,-1.972724,2.268574,0.043504,0.426713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,-0.005391,0.934745,0.001398,0.355276,1.992385,0.217643,-1.897170,0.001487,1.956981,0.210568,-1.822159,0.714688,1.922431,0.211004,-1.852625,0.746918,2.063849,0.224514,-1.942241,0.784247,2.026278,0.224488,-1.971653,0.659127,1.956158,0.210484,-1.821397,1.921831,0.210902,-1.851783,2.064447,0.224577,-1.942855,2.027169,0.224624,-1.972743,2.268578,0.043508,0.426719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,-0.005617,0.934732,0.001365,0.355307,1.992380,0.217640,-1.897167,0.001456,1.956974,0.210567,-1.822158,0.718775,1.922426,0.210982,-1.852626,0.740344,2.063845,0.224528,-1.942235,0.785135,2.026276,0.224481,-1.971650,0.646408,1.956143,0.210490,-1.821395,1.921865,0.210877,-1.851820,2.064429,0.224583,-1.942829,2.027138,0.224624,-1.972718,2.268584,0.043493,0.426712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,-0.005482,0.934737,0.001313,0.355296,1.992368,0.217637,-1.897147,0.001488,1.956962,0.210575,-1.822137,0.710534,1.922413,0.211000,-1.852604,0.746353,2.063834,0.224505,-1.942217,0.784058,2.026264,0.224469,-1.971631,0.649513,1.956110,0.210495,-1.821356,1.921834,0.210893,-1.851779,2.064434,0.224563,-1.942835,2.027150,0.224612,-1.972708,2.268576,0.043491,0.426699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,-0.005884,0.934721,0.001187,0.355330,1.992367,0.217620,-1.897154,0.001479,1.956959,0.210573,-1.822143,0.715451,1.922413,0.210960,-1.852613,0.752499,2.063831,0.224512,-1.942222,0.795388,2.026264,0.224436,-1.971639,0.633426,1.956129,0.210475,-1.821371,1.921840,0.210877,-1.851810,2.064403,0.224584,-1.942803,2.027187,0.224559,-1.972771,2.268582,0.043507,0.426692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,-0.005678,0.934738,0.001271,0.355291,1.992376,0.217624,-1.897166,0.001485,1.956973,0.210566,-1.822154,0.710851,1.922424,0.210973,-1.852621,0.747694,2.063839,0.224506,-1.942238,0.781853,2.026269,0.224451,-1.971651,0.656826,1.956125,0.210484,-1.821372,1.921847,0.210869,-1.851799,2.064454,0.224566,-1.942854,2.027120,0.224588,-1.972719,2.268579,0.043503,0.426709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,-0.005475,0.934741,0.001242,0.355286,1.992364,0.217640,-1.897159,0.001507,1.956959,0.210589,-1.822147,0.714875,1.922410,0.211013,-1.852613,0.738733,2.063829,0.224498,-1.942230,0.783254,2.026259,0.224460,-1.971644,0.642028,1.956119,0.210498,-1.821380,1.921812,0.210918,-1.851762,2.064437,0.224567,-1.942845,2.027155,0.224589,-1.972753,2.268585,0.043507,0.426713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,-0.005326,0.934745,0.001527,0.355277,1.992384,0.217637,-1.897197,0.001443,1.956980,0.210541,-1.822189,0.714875,1.922430,0.210987,-1.852654,0.738733,2.063848,0.224518,-1.942266,0.783254,2.026277,0.224502,-1.971678,0.642028,1.956171,0.210462,-1.821460,1.921858,0.210885,-1.851819,2.064430,0.224578,-1.942867,2.027126,0.224634,-1.972719,2.268578,0.043506,0.426705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,-0.005266,0.934751,0.001369,0.355262,1.992425,0.217611,-1.897236,0.001494,1.957022,0.210541,-1.822225,0.727276,1.922471,0.210987,-1.852690,0.745523,2.063890,0.224464,-1.942309,0.790375,2.026318,0.224449,-1.971720,0.662595,1.956181,0.210463,-1.821453,1.921870,0.210878,-1.851838,2.064506,0.224524,-1.942948,2.027189,0.224590,-1.972779,2.268580,0.043516,0.426715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,-0.005433,0.934751,0.001404,0.355260,1.992433,0.217616,-1.897257,0.001489,1.957032,0.210539,-1.822246,0.714051,1.922481,0.210972,-1.852710,0.738046,2.063895,0.224492,-1.942331,0.777763,2.026323,0.224463,-1.971742,0.655464,1.956174,0.210454,-1.821457,1.921903,0.210871,-1.851889,2.064502,0.224555,-1.942953,2.027197,0.224598,-1.972812,2.268577,0.043518,0.426703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
