Format Version,1.23,Take Name,BW_70,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-04 04.42.48.492 PM,Total Frames in Take,773,Total Exported Frames,773,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133333,-0.006823,0.938184,0.001556,0.346066,1.971410,0.217448,-1.890604,0.001395,1.937507,0.210339,-1.814906,0.691584,1.902364,0.210653,-1.844687,0.799861,2.041955,0.224477,-1.937077,0.799383,2.003813,0.224322,-1.965745,0.699428,1.936611,0.210247,-1.814085,1.901940,0.210570,-1.843978,2.042535,0.224537,-1.937636,2.004517,0.224440,-1.966742,2.268543,0.043511,0.426682,,,,,,,,,,,,,,,
17,0.141667,-0.006719,0.938172,0.001554,0.346101,1.971416,0.217433,-1.890601,0.001379,1.937506,0.210325,-1.814907,0.695329,1.902365,0.210648,-1.844690,0.792433,2.041966,0.224452,-1.937069,0.798071,2.003826,0.224306,-1.965739,0.693440,1.936632,0.210241,-1.814105,1.901952,0.210563,-1.843988,2.042523,0.224505,-1.937611,2.004546,0.224432,-1.966754,2.268549,0.043547,0.426671,,,,,,,,,,,,,,,
18,0.150000,-0.006665,0.938192,0.001609,0.346047,1.971442,0.217426,-1.890640,0.001361,1.937541,0.210310,-1.814943,0.702609,1.902397,0.210639,-1.844723,0.795011,2.041987,0.224447,-1.937115,0.805121,2.003844,0.224308,-1.965781,0.687399,1.936669,0.210226,-1.814142,1.901981,0.210554,-1.844024,2.042556,0.224502,-1.937673,2.004529,0.224427,-1.966742,2.268551,0.043524,0.426677,,,,,,,,,,,,,,,
19,0.158333,-0.006500,0.938196,0.001645,0.346038,1.971421,0.217432,-1.890616,0.001369,1.937519,0.210312,-1.814919,0.707298,1.902374,0.210657,-1.844697,0.790709,2.041967,0.224441,-1.937090,0.797489,2.003823,0.224318,-1.965756,0.702911,1.936662,0.210225,-1.814126,1.901943,0.210572,-1.843985,2.042547,0.224500,-1.937652,2.004504,0.224434,-1.966723,2.268545,0.043509,0.426664,,,,,,,,,,,,,,,
20,0.166667,-0.006893,0.938179,0.001483,0.346078,1.971429,0.217435,-1.890627,0.001379,1.937525,0.210337,-1.814929,0.704551,1.902383,0.210642,-1.844711,0.792724,2.041975,0.224461,-1.937099,0.802535,2.003834,0.224298,-1.965768,0.691633,1.936658,0.210243,-1.814132,1.901960,0.210564,-1.844002,2.042542,0.224523,-1.937646,2.004541,0.224412,-1.966773,2.268534,0.043508,0.426669,,,,,,,,,,,,,,,
21,0.175000,-0.006060,0.938240,0.002057,0.345927,1.971384,0.217456,-1.890589,0.001315,1.937496,0.210273,-1.814891,0.703040,1.902345,0.210669,-1.844661,0.808311,2.041922,0.224478,-1.937073,0.791630,2.003771,0.224406,-1.965730,0.740693,1.936624,0.210241,-1.814086,1.901966,0.210546,-1.844006,2.042533,0.224494,-1.937640,2.004336,0.224555,-1.966587,2.268537,0.043526,0.426680,,,,,,,,,,,,,,,
22,0.183333,-0.006715,0.938189,0.001588,0.346055,1.971432,0.217422,-1.890648,0.001385,1.937530,0.210309,-1.814951,0.703972,1.902386,0.210633,-1.844731,0.788116,2.041977,0.224445,-1.937122,0.799465,2.003835,0.224301,-1.965789,0.691984,1.936663,0.210219,-1.814150,1.901949,0.210550,-1.844010,2.042547,0.224505,-1.937683,2.004550,0.224419,-1.966785,2.268544,0.043521,0.426690,,,,,,,,,,,,,,,
23,0.191667,-0.006680,0.938185,0.001545,0.346067,1.971397,0.217438,-1.890606,0.001383,1.937492,0.210332,-1.814909,0.703972,1.902349,0.210658,-1.844691,0.788116,2.041944,0.224452,-1.937078,0.799465,2.003802,0.224309,-1.965747,0.691984,1.936635,0.210246,-1.814110,1.901906,0.210572,-1.843970,2.042528,0.224511,-1.937645,2.004496,0.224428,-1.966730,2.268541,0.043501,0.426674,,,,,,,,,,,,,,,
24,0.200000,-0.006522,0.938188,0.001596,0.346062,1.971381,0.217445,-1.890587,0.001380,1.937476,0.210333,-1.814891,0.706277,1.902332,0.210675,-1.844672,0.787414,2.041929,0.224450,-1.937059,0.795935,2.003788,0.224324,-1.965726,0.697754,1.936616,0.210256,-1.814093,1.901895,0.210581,-1.843955,2.042514,0.224502,-1.937622,2.004476,0.224451,-1.966708,2.268537,0.043507,0.426668,,,,,,,,,,,,,,,
25,0.208333,-0.006468,0.938193,0.001632,0.346049,1.971366,0.217437,-1.890578,0.001363,1.937462,0.210319,-1.814882,0.705969,1.902318,0.210666,-1.844661,0.788832,2.041914,0.224441,-1.937051,0.796643,2.003771,0.224320,-1.965717,0.698573,1.936630,0.210226,-1.814124,1.901887,0.210590,-1.843932,2.042478,0.224506,-1.937595,2.004467,0.224429,-1.966711,2.268551,0.043516,0.426684,,,,,,,,,,,,,,,
26,0.216667,-0.006448,0.938200,0.001680,0.346030,1.971403,0.217446,-1.890602,0.001359,1.937503,0.210321,-1.814905,0.717648,1.902357,0.210671,-1.844683,0.787313,2.041949,0.224455,-1.937077,0.803242,2.003805,0.224338,-1.965742,0.695349,1.936642,0.210244,-1.814131,1.901937,0.210580,-1.843964,2.042520,0.224507,-1.937638,2.004485,0.224461,-1.966697,2.268534,0.043521,0.426674,,,,,,,,,,,,,,,
27,0.225000,-0.006463,0.938198,0.001694,0.346034,1.971390,0.217451,-1.890595,0.001369,1.937489,0.210323,-1.814899,0.701466,1.902344,0.210673,-1.844677,0.794271,2.041936,0.224463,-1.937070,0.799054,2.003792,0.224345,-1.965735,0.704200,1.936602,0.210249,-1.814103,1.901935,0.210578,-1.843969,2.042511,0.224511,-1.937629,2.004473,0.224474,-1.966694,2.268545,0.043517,0.426680,,,,,,,,,,,,,,,
28,0.233333,-0.006063,0.938232,0.002046,0.345947,1.971346,0.217502,-1.890561,0.001328,1.937456,0.210321,-1.814865,0.711076,1.902305,0.210716,-1.844636,0.800887,2.041887,0.224522,-1.937043,0.788748,2.003737,0.224450,-1.965701,0.735140,1.936603,0.210275,-1.814087,1.901907,0.210602,-1.843956,2.042508,0.224551,-1.937615,2.004315,0.224589,-1.966578,2.268534,0.043518,0.426683,,,,,,,,,,,,,,,
29,0.241667,-0.006072,0.938232,0.002082,0.345948,1.971335,0.217501,-1.890558,0.001314,1.937444,0.210313,-1.814863,0.711505,1.902294,0.210709,-1.844634,0.804833,2.041875,0.224526,-1.937039,0.790849,2.003725,0.224454,-1.965698,0.740312,1.936592,0.210274,-1.814085,1.901908,0.210591,-1.843966,2.042493,0.224549,-1.937602,2.004284,0.224597,-1.966562,2.268548,0.043516,0.426662,,,,,,,,,,,,,,,
30,0.250000,-0.006098,0.938238,0.002064,0.345932,1.971352,0.217498,-1.890566,0.001319,1.937464,0.210313,-1.814869,0.713663,1.902313,0.210706,-1.844639,0.802984,2.041890,0.224524,-1.937050,0.794833,2.003740,0.224449,-1.965707,0.732315,1.936621,0.210258,-1.814096,1.901921,0.210600,-1.843964,2.042495,0.224559,-1.937603,2.004321,0.224582,-1.966596,2.268540,0.043536,0.426679,,,,,,,,,,,,,,,
31,0.258333,-0.005857,0.938244,0.002052,0.345919,1.971357,0.217479,-1.890577,0.001338,1.937469,0.210298,-1.814880,0.713663,1.902316,0.210712,-1.844649,0.802984,2.041897,0.224479,-1.937062,0.794833,2.003746,0.224426,-1.965718,0.732315,1.936615,0.210265,-1.814098,1.901908,0.210587,-1.843964,2.042539,0.224499,-1.937650,2.004315,0.224574,-1.966586,2.268539,0.043529,0.426673,,,,,,,,,,,,,,,
32,0.266667,-0.006680,0.938195,0.001592,0.346038,1.971384,0.217462,-1.890589,0.001381,1.937484,0.210349,-1.814891,0.710352,1.902339,0.210676,-1.844669,0.798230,2.041928,0.224482,-1.937065,0.782296,2.003785,0.224341,-1.965731,0.737791,1.936621,0.210260,-1.814097,1.901903,0.210592,-1.843946,2.042508,0.224543,-1.937630,2.004480,0.224458,-1.966712,2.268535,0.043536,0.426685,,,,,,,,,,,,,,,
33,0.275000,-0.006623,0.938189,0.001528,0.346056,1.971402,0.217428,-1.890618,0.001393,1.937499,0.210326,-1.814920,0.706086,1.902355,0.210657,-1.844700,0.787672,2.041949,0.224434,-1.937092,0.797047,2.003807,0.224297,-1.965759,0.697957,1.936631,0.210234,-1.814132,1.901916,0.210575,-1.843965,2.042525,0.224497,-1.937651,2.004519,0.224412,-1.966764,2.268550,0.043524,0.426676,,,,,,,,,,,,,,,
