Format Version,1.23,Take Name,BW_45,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-04 04.38.53.645 PM,Total Frames in Take,1446,Total Exported Frames,1446,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133333,-0.005205,0.926998,0.003014,0.375018,1.951520,0.216627,-1.862789,0.001409,1.912975,0.209269,-1.789371,0.757390,1.879747,0.209783,-1.821272,0.748654,2.024824,0.223705,-1.904767,0.813899,1.988534,0.223751,-1.935746,0.654089,1.912179,0.209181,-1.788785,1.879207,0.209697,-1.820439,2.025376,0.223773,-1.905264,1.989431,0.223871,-1.936818,2.268603,0.043509,0.426715,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,-0.005020,0.926980,0.003039,0.375065,1.951506,0.216635,-1.862778,0.001411,1.912952,0.209276,-1.789365,0.751755,1.879727,0.209806,-1.821270,0.750755,2.024817,0.223696,-1.904747,0.813570,1.988529,0.223760,-1.935729,0.649311,1.912175,0.209193,-1.788787,1.879152,0.209712,-1.820407,2.025380,0.223763,-1.905259,1.989411,0.223883,-1.936776,2.268609,0.043496,0.426708,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,-0.005139,0.927005,0.002951,0.375003,1.951498,0.216634,-1.862764,0.001442,1.912954,0.209288,-1.789344,0.757161,1.879725,0.209805,-1.821244,0.739765,2.024802,0.223696,-1.904745,0.808950,1.988510,0.223746,-1.935722,0.656532,1.912157,0.209195,-1.788750,1.879162,0.209722,-1.820393,2.025371,0.223769,-1.905241,1.989422,0.223864,-1.936834,2.268601,0.043515,0.426696,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,-0.005075,0.926985,0.003058,0.375053,1.951489,0.216648,-1.862764,0.001388,1.912937,0.209285,-1.789350,0.760570,1.879711,0.209811,-1.821254,0.750239,2.024797,0.223718,-1.904735,0.816410,1.988509,0.223777,-1.935716,0.652432,1.912176,0.209190,-1.788776,1.879158,0.209738,-1.820425,2.025339,0.223795,-1.905225,1.989398,0.223881,-1.936780,2.268614,0.043520,0.426714,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,-0.005191,0.926972,0.003096,0.375082,1.951494,0.216627,-1.862767,0.001383,1.912940,0.209256,-1.789355,0.765212,1.879716,0.209774,-1.821261,0.750524,2.024804,0.223714,-1.904734,0.820361,1.988518,0.223764,-1.935717,0.649336,1.912188,0.209164,-1.788800,1.879173,0.209699,-1.820427,2.025337,0.223789,-1.905210,1.989410,0.223871,-1.936794,2.268607,0.043489,0.426710,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,-0.005062,0.926975,0.003104,0.375076,1.951499,0.216616,-1.862777,0.001383,1.912944,0.209246,-1.789366,0.763178,1.879720,0.209775,-1.821271,0.746422,2.024810,0.223691,-1.904744,0.815725,1.988523,0.223753,-1.935727,0.659444,1.912181,0.209159,-1.788812,1.879173,0.209692,-1.820421,2.025353,0.223762,-1.905237,1.989393,0.223865,-1.936769,2.268602,0.043500,0.426731,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,-0.005122,0.926968,0.003094,0.375093,1.951513,0.216626,-1.862788,0.001386,1.912956,0.209256,-1.789378,0.760697,1.879733,0.209780,-1.821284,0.749567,2.024824,0.223706,-1.904753,0.814620,1.988539,0.223762,-1.935737,0.661069,1.912189,0.209172,-1.788811,1.879189,0.209693,-1.820447,2.025379,0.223773,-1.905240,1.989392,0.223879,-1.936784,2.268609,0.043486,0.426715,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,-0.005048,0.926986,0.003080,0.375049,1.951517,0.216630,-1.862791,0.001397,1.912966,0.209264,-1.789377,0.760697,1.879740,0.209793,-1.821281,0.749567,2.024826,0.223700,-1.904763,0.814620,1.988537,0.223762,-1.935743,0.661069,1.912199,0.209175,-1.788817,1.879188,0.209711,-1.820428,2.025376,0.223772,-1.905254,1.989415,0.223874,-1.936803,2.268613,0.043513,0.426703,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,-0.004927,0.926978,0.003069,0.375072,1.951504,0.216638,-1.862790,0.001412,1.912947,0.209276,-1.789379,0.761501,1.879723,0.209815,-1.821284,0.745141,2.024816,0.223694,-1.904758,0.814787,1.988529,0.223767,-1.935740,0.654824,1.912177,0.209183,-1.788791,1.879148,0.209734,-1.820439,2.025384,0.223769,-1.905258,1.989403,0.223877,-1.936806,2.268606,0.043515,0.426695,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,-0.004700,0.926977,0.003216,0.375076,1.951514,0.216624,-1.862798,0.001397,1.912955,0.209241,-1.789390,0.756736,1.879731,0.209805,-1.821295,0.743766,2.024829,0.223676,-1.904762,0.809841,1.988542,0.223774,-1.935745,0.654147,1.912204,0.209139,-1.788841,1.879156,0.209739,-1.820420,2.025375,0.223763,-1.905261,1.989428,0.223863,-1.936797,2.268599,0.043524,0.426719,,,,,,,,,,,,,,,,,,,,,,,,
