Format Version,1.23,Take Name,FW_55,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-03 04.16.35.780 PM,Total Frames in Take,953,Total Exported Frames,953,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133333,-0.007787,0.402831,-0.001710,-0.915240,2.015368,0.219289,-1.929937,0.002024,2.058417,0.213833,-2.000980,0.554549,2.089643,0.214547,-1.967120,0.664504,1.939533,0.224226,-1.892382,0.602779,1.973881,0.224549,-1.859265,0.663912,,,,,,,,,,,,,,,,,,,,,2.059640,0.213639,-2.002266,2.090681,0.214513,-1.967948,1.938395,0.224394,-1.891264,1.972876,0.224588,-1.858407,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,-0.007770,0.402814,-0.001789,-0.915247,2.015368,0.219284,-1.929938,0.001994,2.058415,0.213828,-2.000983,0.564216,2.089642,0.214548,-1.967124,0.670191,1.939533,0.224215,-1.892382,0.607875,1.973883,0.224546,-1.859265,0.669276,,,,,,,,,,,,,,,,,,,,,2.059611,0.213654,-2.002239,2.090673,0.214506,-1.967946,1.938413,0.224366,-1.891294,1.972882,0.224593,-1.858401,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,-0.007929,0.403013,-0.001934,-0.915158,2.015384,0.219312,-1.929923,0.002025,2.058463,0.213884,-2.000949,0.547628,2.089676,0.214611,-1.967077,0.676531,1.939531,0.224206,-1.892398,0.593762,1.973865,0.224544,-1.859267,0.688334,,,,,,,,,,,,,,,,,,,,,2.059647,0.213657,-2.002299,2.090713,0.214596,-1.967850,1.938398,0.224400,-1.891249,1.972911,0.224567,-1.858465,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,-0.007791,0.402978,-0.002081,-0.915174,2.015365,0.219301,-1.929901,0.002020,2.058441,0.213854,-2.000928,0.547628,2.089655,0.214599,-1.967059,0.676531,1.939514,0.224198,-1.892372,0.593762,1.973851,0.224554,-1.859244,0.688334,,,,,,,,,,,,,,,,,,,,,2.059634,0.213636,-2.002272,2.090709,0.214580,-1.967839,1.938418,0.224375,-1.891285,1.972866,0.224581,-1.858413,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,-0.007868,0.403022,-0.002136,-0.915154,2.015380,0.219296,-1.929913,0.002010,2.058463,0.213863,-2.000937,0.547410,2.089674,0.214609,-1.967064,0.672128,1.939525,0.224177,-1.892391,0.611488,1.973858,0.224535,-1.859259,0.677792,,,,,,,,,,,,,,,,,,,,,2.059666,0.213633,-2.002272,2.090719,0.214598,-1.967845,1.938426,0.224362,-1.891313,1.972879,0.224556,-1.858427,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,-0.007865,0.402973,-0.002032,-0.915176,2.015384,0.219285,-1.929918,0.002016,2.058459,0.213850,-2.000946,0.542696,2.089674,0.214587,-1.967077,0.676750,1.939534,0.224178,-1.892388,0.605620,1.973871,0.224527,-1.859259,0.684991,,,,,,,,,,,,,,,,,,,,,2.059666,0.213614,-2.002300,2.090710,0.214576,-1.967850,1.938422,0.224369,-1.891285,1.972909,0.224547,-1.858446,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,-0.008031,0.403122,-0.001866,-0.915109,2.015398,0.219305,-1.929938,0.001980,2.058494,0.213893,-2.000955,0.565073,2.089698,0.214611,-1.967075,0.683278,1.939536,0.224194,-1.892430,0.593527,1.973863,0.224523,-1.859291,0.696032,,,,,,,,,,,,,,,,,,,,,2.059627,0.213671,-2.002257,2.090714,0.214600,-1.967832,1.938397,0.224393,-1.891286,1.972939,0.224540,-1.858500,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,-0.007842,0.402843,-0.001772,-0.915234,2.015358,0.219285,-1.929937,0.002000,2.058409,0.213840,-2.000979,0.565073,2.089634,0.214557,-1.967119,0.683278,1.939521,0.224209,-1.892384,0.593527,1.973868,0.224535,-1.859266,0.696032,,,,,,,,,,,,,,,,,,,,,2.059630,0.213640,-2.002266,2.090650,0.214528,-1.967922,1.938409,0.224379,-1.891279,1.972872,0.224570,-1.858428,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,-0.007879,0.403031,-0.002080,-0.915150,2.015368,0.219321,-1.929899,0.002011,2.058452,0.213889,-2.000922,0.553725,2.089663,0.214630,-1.967049,0.676179,1.939512,0.224206,-1.892379,0.605788,1.973846,0.224559,-1.859246,0.674610,,,,,,,,,,,,,,,,,,,,,2.059645,0.213653,-2.002263,2.090699,0.214620,-1.967823,1.938399,0.224400,-1.891272,1.972883,0.224578,-1.858431,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,-0.007820,0.402831,-0.001751,-0.915239,2.015366,0.219295,-1.929930,0.002013,2.058415,0.213846,-2.000973,0.541616,2.089641,0.214562,-1.967114,0.676671,1.939530,0.224224,-1.892375,0.608813,1.973879,0.224549,-1.859258,0.675821,,,,,,,,,,,,,,,,,,,,,2.059664,0.213632,-2.002298,2.090661,0.214537,-1.967909,1.938424,0.224397,-1.891282,1.972885,0.224582,-1.858425,,,,,,,,,,,,,,,,,,,,,,,,
