Format Version,1.23,Take Name,FW_65,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-03 04.17.53.023 PM,Total Frames in Take,862,Total Exported Frames,862,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133333,-0.010313,0.378067,-0.002634,-0.925717,1.994393,0.218886,-1.910412,0.001537,2.033581,0.213861,-1.983686,0.531455,2.066579,0.214585,-1.951551,0.836871,1.920666,0.223375,-1.868818,0.637486,1.956744,0.223725,-1.837594,0.840020,,,,,,,,,,,,,,,,,,,,,2.034780,0.213553,-1.985034,2.067091,0.214625,-1.951988,1.919696,0.223598,-1.867760,1.956246,0.223700,-1.837147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,-0.010274,0.378055,-0.002560,-0.925722,1.994436,0.218881,-1.910471,0.001574,2.033622,0.213847,-1.983745,0.565538,2.066621,0.214567,-1.951611,0.817433,1.920712,0.223382,-1.868875,0.611424,1.956790,0.223726,-1.837651,0.818907,,,,,,,,,,,,,,,,,,,,,2.034755,0.213563,-1.985032,2.067166,0.214600,-1.952097,1.919674,0.223623,-1.867743,1.956263,0.223702,-1.837155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,-0.010295,0.378038,-0.002509,-0.925730,1.994444,0.218862,-1.910488,0.001584,2.033626,0.213831,-1.983764,0.559876,2.066627,0.214546,-1.951632,0.820033,1.920721,0.223366,-1.868889,0.602203,1.956800,0.223705,-1.837667,0.822279,,,,,,,,,,,,,,,,,,,,,2.034777,0.213536,-1.985063,2.067161,0.214580,-1.952112,1.919663,0.223618,-1.867727,1.956281,0.223679,-1.837182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,-0.010195,0.378026,-0.002775,-0.925735,1.994427,0.218888,-1.910472,0.001577,2.033610,0.213845,-1.983747,0.559876,2.066611,0.214585,-1.951616,0.820033,1.920704,0.223377,-1.868873,0.602203,1.956784,0.223743,-1.837652,0.822279,,,,,,,,,,,,,,,,,,,,,2.034779,0.213550,-1.985051,2.067151,0.214620,-1.952102,1.919676,0.223617,-1.867748,1.956255,0.223719,-1.837163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,-0.010369,0.378116,-0.002617,-0.925697,1.994418,0.218904,-1.910425,0.001499,2.033615,0.213887,-1.983695,0.556234,2.066609,0.214608,-1.951557,0.818257,1.920688,0.223387,-1.868839,0.614308,1.956761,0.223733,-1.837610,0.819842,,,,,,,,,,,,,,,,,,,,,2.034740,0.213595,-1.984982,2.067087,0.214651,-1.951967,1.919677,0.223628,-1.867727,1.956299,0.223700,-1.837187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,-0.010288,0.378076,-0.002639,-0.925714,1.994441,0.218903,-1.910470,0.001567,2.033631,0.213873,-1.983742,0.569280,2.066629,0.214599,-1.951607,0.823704,1.920714,0.223394,-1.868878,0.596711,1.956791,0.223745,-1.837652,0.825088,,,,,,,,,,,,,,,,,,,,,2.034761,0.213581,-1.985010,2.067148,0.214636,-1.952083,1.919649,0.223656,-1.867695,1.956279,0.223715,-1.837176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,-0.010200,0.378050,-0.002594,-0.925726,1.994457,0.218891,-1.910480,0.001587,2.033642,0.213845,-1.983754,0.570660,2.066641,0.214570,-1.951620,0.814339,1.920733,0.223399,-1.868884,0.600213,1.956811,0.223748,-1.837660,0.815660,,,,,,,,,,,,,,,,,,,,,2.034767,0.213566,-1.985021,2.067189,0.214601,-1.952121,1.919672,0.223648,-1.867713,1.956275,0.223724,-1.837155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,-0.010224,0.378064,-0.002738,-0.925719,1.994469,0.218883,-1.910503,0.001559,2.033658,0.213845,-1.983776,0.570660,2.066656,0.214581,-1.951641,0.814339,1.920742,0.223373,-1.868910,0.600213,1.956820,0.223735,-1.837686,0.815660,,,,,,,,,,,,,,,,,,,,,2.034788,0.213564,-1.985043,2.067175,0.214615,-1.952116,1.919706,0.223619,-1.867744,1.956301,0.223708,-1.837215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,-0.010187,0.378086,-0.002636,-0.925711,1.994459,0.218875,-1.910482,0.001564,2.033650,0.213829,-1.983753,0.569758,2.066647,0.214558,-1.951617,0.823932,1.920731,0.223381,-1.868893,0.605211,1.956807,0.223734,-1.837667,0.824783,,,,,,,,,,,,,,,,,,,,,2.034778,0.213552,-1.985022,2.067174,0.214590,-1.952096,1.919682,0.223624,-1.867735,1.956289,0.223710,-1.837184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,-0.010283,0.378058,-0.002742,-0.925721,1.994474,0.218866,-1.910504,0.001507,2.033662,0.213837,-1.983778,0.579709,2.066661,0.214572,-1.951643,0.831496,1.920748,0.223347,-1.868910,0.616073,1.956825,0.223708,-1.837686,0.831209,,,,,,,,,,,,,,,,,,,,,2.034775,0.213561,-1.985008,2.067156,0.214611,-1.952099,1.919730,0.223589,-1.867785,1.956330,0.223677,-1.837228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
