Format Version,1.23,Take Name,BW_65,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-04 04.42.04.445 PM,Total Frames in Take,751,Total Exported Frames,751,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133333,-0.005147,0.925150,0.002049,0.379561,1.984529,0.217685,-1.900746,0.001374,1.945259,0.210484,-1.827698,0.746995,1.912347,0.210971,-1.859924,0.762262,2.058248,0.224631,-1.942014,0.794645,2.022263,0.224655,-1.973347,0.706279,1.944466,0.210407,-1.827055,1.911766,0.210874,-1.859149,2.058866,0.224692,-1.942549,2.023045,0.224774,-1.974282,2.268533,0.043516,0.426671,,,,,,,,,,,,,,,,,,
17,0.141667,-0.005001,0.925152,0.002004,0.379558,1.984532,0.217698,-1.900755,0.001421,1.945261,0.210507,-1.827707,0.744068,1.912348,0.211005,-1.859933,0.756531,2.058253,0.224623,-1.942024,0.795052,2.022268,0.224658,-1.973357,0.693923,1.944420,0.210436,-1.827009,1.911754,0.210896,-1.859163,2.058916,0.224678,-1.942593,2.023052,0.224791,-1.974298,2.268544,0.043516,0.426668,,,,,,,,,,,,,,,,,,
18,0.150000,-0.003926,0.925242,0.003031,0.379346,1.984429,0.217764,-1.900674,0.001260,1.945183,0.210422,-1.827627,0.726217,1.912256,0.211047,-1.859836,0.755223,2.058138,0.224712,-1.941959,0.781074,2.022139,0.224876,-1.973275,0.691964,1.944431,0.210426,-1.827041,1.911749,0.210887,-1.859139,2.058856,0.224709,-1.942524,2.022675,0.225037,-1.973994,2.268550,0.043515,0.426671,,,,,,,,,,,,,,,,,,
19,0.158333,-0.005366,0.925119,0.001950,0.379634,1.984522,0.217678,-1.900740,0.001387,1.945243,0.210489,-1.827695,0.735941,1.912335,0.210954,-1.859928,0.762174,2.058245,0.224633,-1.941999,0.796496,2.022265,0.224634,-1.973338,0.688375,1.944422,0.210415,-1.827034,1.911773,0.210854,-1.859167,2.058865,0.224689,-1.942523,2.023053,0.224762,-1.974295,2.268526,0.043507,0.426677,,,,,,,,,,,,,,,,,,
20,0.166667,-0.005265,0.925129,0.002032,0.379610,1.984505,0.217684,-1.900735,0.001381,1.945229,0.210483,-1.827690,0.739643,1.912319,0.210960,-1.859920,0.760121,2.058227,0.224640,-1.941996,0.798242,2.022245,0.224652,-1.973333,0.686816,1.944422,0.210406,-1.827035,1.911748,0.210862,-1.859155,2.058838,0.224698,-1.942520,2.023043,0.224777,-1.974291,2.268540,0.043526,0.426667,,,,,,,,,,,,,,,,,,
21,0.175000,-0.005664,0.925117,0.001882,0.379636,1.984522,0.217672,-1.900755,0.001387,1.945246,0.210489,-1.827708,0.726446,1.912338,0.210926,-1.859941,0.772125,2.058242,0.224650,-1.942016,0.798345,2.022262,0.224622,-1.973355,0.686636,1.944401,0.210425,-1.827015,1.911798,0.210817,-1.859214,2.058861,0.224694,-1.942531,2.023047,0.224765,-1.974322,2.268550,0.043531,0.426666,,,,,,,,,,,,,,,,,,
22,0.183333,-0.005254,0.925131,0.002061,0.379606,1.984515,0.217679,-1.900743,0.001380,1.945239,0.210473,-1.827698,0.734687,1.912329,0.210952,-1.859928,0.764309,2.058236,0.224637,-1.942004,0.793269,2.022254,0.224652,-1.973341,0.695093,1.944420,0.210415,-1.827026,1.911767,0.210836,-1.859181,2.058867,0.224680,-1.942538,2.023022,0.224795,-1.974278,2.268549,0.043510,0.426676,,,,,,,,,,,,,,,,,,
23,0.191667,-0.005260,0.925145,0.002000,0.379571,1.984546,0.217658,-1.900776,0.001385,1.945276,0.210463,-1.827728,0.734687,1.912364,0.210939,-1.859955,0.764309,2.058265,0.224610,-1.942044,0.793269,2.022281,0.224622,-1.973378,0.695093,1.944439,0.210404,-1.827044,1.911812,0.210825,-1.859215,2.058904,0.224652,-1.942578,2.023040,0.224764,-1.974313,2.268541,0.043523,0.426669,,,,,,,,,,,,,,,,,,
24,0.200000,-0.005144,0.925126,0.002158,0.379619,1.984523,0.217657,-1.900763,0.001375,1.945245,0.210438,-1.827721,0.729463,1.912336,0.210929,-1.859952,0.767483,2.058247,0.224617,-1.942020,0.791480,2.022266,0.224645,-1.973358,0.696666,1.944453,0.210369,-1.827080,1.911757,0.210824,-1.859177,2.058884,0.224672,-1.942554,2.023017,0.224771,-1.974285,2.268542,0.043521,0.426666,,,,,,,,,,,,,,,,,,
25,0.208333,-0.005355,0.925133,0.002008,0.379601,1.984516,0.217677,-1.900738,0.001388,1.945242,0.210478,-1.827691,0.744755,1.912332,0.210946,-1.859921,0.756762,2.058235,0.224639,-1.942001,0.791701,2.022254,0.224643,-1.973337,0.700058,1.944402,0.210412,-1.827001,1.911775,0.210838,-1.859182,2.058863,0.224687,-1.942538,2.023038,0.224780,-1.974281,2.268551,0.043513,0.426668,,,,,,,,,,,,,,,,,,
26,0.216667,-0.005351,0.925138,0.002006,0.379588,1.984523,0.217693,-1.900738,0.001367,1.945251,0.210495,-1.827691,0.727870,1.912340,0.210963,-1.859920,0.767070,2.058241,0.224654,-1.942004,0.793243,2.022259,0.224658,-1.973339,0.691236,1.944430,0.210428,-1.827014,1.911788,0.210858,-1.859188,2.058855,0.224703,-1.942530,2.023036,0.224793,-1.974276,2.268542,0.043515,0.426670,,,,,,,,,,,,,,,,,,
27,0.225000,-0.005014,0.925131,0.002123,0.379610,1.984518,0.217689,-1.900729,0.001377,1.945239,0.210477,-1.827687,0.737981,1.912330,0.210979,-1.859917,0.760467,2.058242,0.224630,-1.941988,0.792112,2.022261,0.224669,-1.973325,0.696461,1.944431,0.210412,-1.827022,1.911754,0.210869,-1.859158,2.058871,0.224681,-1.942530,2.023034,0.224802,-1.974252,2.268535,0.043519,0.426680,,,,,,,,,,,,,,,,,,
28,0.233333,-0.005112,0.925131,0.002093,0.379609,1.984529,0.217662,-1.900749,0.001382,1.945251,0.210454,-1.827706,0.739078,1.912342,0.210945,-1.859936,0.759551,2.058252,0.224610,-1.942009,0.792980,2.022271,0.224638,-1.973346,0.694982,1.944443,0.210380,-1.827050,1.911770,0.210845,-1.859169,2.058882,0.224667,-1.942543,2.023041,0.224763,-1.974284,2.268546,0.043524,0.426688,,,,,,,,,,,,,,,,,,
