Format Version,1.23,Take Name,Take 2021-05-03 03.06.08 PM_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-03 04.02.20.549 PM,Total Frames in Take,1371,Total Exported Frames,1371,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133333,-0.008993,0.304936,-0.002496,-0.952327,1.979222,0.219098,-1.906561,0.001663,2.006578,0.213828,-1.985008,0.611430,2.044159,0.214652,-1.958380,0.759879,1.912834,0.223734,-1.854054,0.677222,1.953316,0.224180,-1.828802,0.744739,,,,,,,,,,,,,,,,,,,,,2.007332,0.213621,-1.986409,2.044803,0.214658,-1.959066,1.912132,0.223899,-1.852924,1.952701,0.224185,-1.828034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,-0.008934,0.304879,-0.002659,-0.952346,1.979221,0.219099,-1.906565,0.001645,2.006570,0.213819,-1.985014,0.598258,2.044154,0.214660,-1.958391,0.769584,1.912839,0.223727,-1.854051,0.678671,1.953324,0.224190,-1.828804,0.751998,,,,,,,,,,,,,,,,,,,,,2.007321,0.213611,-1.986419,2.044788,0.214667,-1.959059,1.912173,0.223887,-1.852964,1.952698,0.224194,-1.828034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,-0.009301,0.305006,-0.001925,-0.952303,1.979212,0.219138,-1.906561,0.001642,2.006574,0.213916,-1.985009,0.622693,2.044152,0.214682,-1.958375,0.761095,1.912821,0.223784,-1.854059,0.659976,1.953300,0.224171,-1.828801,0.757641,,,,,,,,,,,,,,,,,,,,,2.007271,0.213759,-1.986338,2.044809,0.214666,-1.959069,1.912112,0.223922,-1.852906,1.952694,0.224193,-1.828044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,-0.008928,0.304878,-0.002727,-0.952346,1.979223,0.219109,-1.906552,0.001639,2.006572,0.213829,-1.985000,0.622693,2.044156,0.214676,-1.958377,0.761095,1.912840,0.223732,-1.854038,0.659976,1.953324,0.224201,-1.828791,0.757641,,,,,,,,,,,,,,,,,,,,,2.007317,0.213626,-1.986391,2.044788,0.214681,-1.959045,1.912174,0.223890,-1.852943,1.952700,0.224207,-1.828028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,-0.008950,0.304926,-0.002405,-0.952331,1.979230,0.219105,-1.906546,0.001683,2.006583,0.213827,-1.984994,0.602282,2.044165,0.214645,-1.958367,0.770081,1.912844,0.223755,-1.854038,0.677174,1.953327,0.224194,-1.828787,0.753516,,,,,,,,,,,,,,,,,,,,,2.007345,0.213618,-1.986410,2.044822,0.214649,-1.959067,1.912136,0.223921,-1.852907,1.952702,0.224200,-1.828002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,-0.008929,0.304901,-0.002640,-0.952338,1.979195,0.219142,-1.906521,0.001660,2.006547,0.213861,-1.984968,0.602105,2.044130,0.214701,-1.958343,0.763840,1.912811,0.223773,-1.854010,0.670284,1.953294,0.224234,-1.828761,0.750729,,,,,,,,,,,,,,,,,,,,,2.007290,0.213659,-1.986361,2.044779,0.214705,-1.959030,1.912125,0.223934,-1.852895,1.952667,0.224240,-1.827986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,-0.009289,0.304958,-0.002140,-0.952318,1.979190,0.219168,-1.906514,0.001626,2.006546,0.213945,-1.984964,0.621372,2.044127,0.214731,-1.958334,0.764125,1.912803,0.223796,-1.854006,0.673255,1.953284,0.224202,-1.828752,0.752864,,,,,,,,,,,,,,,,,,,,,2.007257,0.213795,-1.986293,2.044772,0.214711,-1.959022,1.912121,0.223922,-1.852898,1.952664,0.224229,-1.827982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,-0.009040,0.304926,-0.002488,-0.952330,1.979208,0.219120,-1.906523,0.001640,2.006563,0.213857,-1.984970,0.621372,2.044144,0.214680,-1.958343,0.764125,1.912822,0.223750,-1.854014,0.673255,1.953304,0.224194,-1.828763,0.752864,,,,,,,,,,,,,,,,,,,,,2.007331,0.213639,-1.986391,2.044762,0.214690,-1.958999,1.912130,0.223918,-1.852901,1.952707,0.224196,-1.828020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,-0.008922,0.304916,-0.002632,-0.952334,1.979196,0.219112,-1.906515,0.001669,2.006550,0.213829,-1.984961,0.592515,2.044132,0.214668,-1.958335,0.774818,1.912810,0.223744,-1.854006,0.669783,1.953293,0.224205,-1.828756,0.761739,,,,,,,,,,,,,,,,,,,,,2.007309,0.213616,-1.986360,2.044775,0.214677,-1.959028,1.912089,0.223919,-1.852850,1.952685,0.224206,-1.827994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,-0.009093,0.304911,-0.002405,-0.952334,1.979200,0.219115,-1.906523,0.001637,2.006551,0.213860,-1.984973,0.606976,2.044134,0.214674,-1.958347,0.768101,1.912816,0.223745,-1.854012,0.670840,1.953299,0.224180,-1.828762,0.756661,,,,,,,,,,,,,,,,,,,,,2.007283,0.213654,-1.986349,2.044772,0.214683,-1.959020,1.912126,0.223911,-1.852902,1.952692,0.224182,-1.828001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
