Format Version,1.23,Take Name,FW_100,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-03 04.25.05.055 PM,Total Frames in Take,787,Total Exported Frames,787,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
17,0.141667,-0.008508,0.369422,-0.000333,-0.929223,2.011525,0.219413,-1.937013,0.001380,2.049309,0.214050,-2.010997,0.700902,2.082906,0.214647,-1.979486,0.797224,1.938615,0.224375,-1.894057,0.658921,1.975271,0.224579,-1.863513,0.809823,,,,,,,,,,,,,,,,,,,,,2.050072,0.213901,-2.011907,2.083492,0.214647,-1.980047,1.937756,0.224542,-1.893010,1.974711,0.224576,-1.862998,,,,,,,,,,,,,,,,,,,,,
18,0.150000,-0.008528,0.369453,-0.000303,-0.929210,2.011505,0.219432,-1.936989,0.001394,2.049294,0.214072,-2.010971,0.695384,2.082888,0.214666,-1.979458,0.799228,1.938593,0.224394,-1.894037,0.650501,1.975247,0.224595,-1.863491,0.811442,,,,,,,,,,,,,,,,,,,,,2.050067,0.213922,-2.011901,2.083471,0.214663,-1.980011,1.937710,0.224563,-1.892967,1.974693,0.224594,-1.862978,,,,,,,,,,,,,,,,,,,,,
19,0.158333,-0.008529,0.369464,-0.000225,-0.929206,2.011498,0.219451,-1.936978,0.001407,2.049288,0.214091,-2.010959,0.695384,2.082882,0.214678,-1.979445,0.799228,1.938586,0.224422,-1.894027,0.650501,1.975239,0.224615,-1.863479,0.811442,,,,,,,,,,,,,,,,,,,,,2.050061,0.213928,-2.011887,2.083469,0.214683,-1.980008,1.937694,0.224609,-1.892931,1.974680,0.224606,-1.862969,,,,,,,,,,,,,,,,,,,,,
20,0.166667,-0.008507,0.369389,-0.000303,-0.929236,2.011472,0.219462,-1.936949,0.001370,2.049250,0.214099,-2.010936,0.695279,2.082849,0.214693,-1.979427,0.796632,1.938565,0.224427,-1.893987,0.643804,1.975224,0.224629,-1.863445,0.810762,,,,,,,,,,,,,,,,,,,,,2.050009,0.213959,-2.011841,2.083431,0.214687,-1.979982,1.937722,0.224582,-1.892952,1.974662,0.224632,-1.862936,,,,,,,,,,,,,,,,,,,,,
21,0.175000,-0.008547,0.369510,0.000092,-0.929188,2.011479,0.219478,-1.936966,0.001435,2.049272,0.214115,-2.010945,0.704181,2.082863,0.214674,-1.979428,0.781962,1.938565,0.224479,-1.894021,0.629071,1.975216,0.224643,-1.863470,0.807085,,,,,,,,,,,,,,,,,,,,,2.050025,0.213970,-2.011847,2.083489,0.214667,-1.980035,1.937619,0.224657,-1.892892,1.974658,0.224643,-1.862937,,,,,,,,,,,,,,,,,,,,,
22,0.183333,-0.008550,0.369433,-0.000176,-0.929218,2.011480,0.219480,-1.936955,0.001376,2.049264,0.214122,-2.010940,0.709333,2.082860,0.214704,-1.979428,0.792200,1.938570,0.224453,-1.893999,0.661268,1.975226,0.224641,-1.863454,0.809258,,,,,,,,,,,,,,,,,,,,,2.050003,0.213994,-2.011828,2.083463,0.214690,-1.980000,1.937715,0.224599,-1.892959,1.974664,0.224650,-1.862939,,,,,,,,,,,,,,,,,,,,,
23,0.191667,-0.008497,0.369450,-0.000273,-0.929212,2.011482,0.219466,-1.936958,0.001410,2.049269,0.214101,-2.010940,0.709333,2.082864,0.214693,-1.979427,0.792200,1.938570,0.224436,-1.894006,0.661268,1.975224,0.224635,-1.863459,0.809258,,,,,,,,,,,,,,,,,,,,,2.050033,0.213965,-2.011871,2.083480,0.214681,-1.980006,1.937711,0.224586,-1.892958,1.974646,0.224644,-1.862925,,,,,,,,,,,,,,,,,,,,,
24,0.200000,-0.008561,0.369491,-0.000229,-0.929195,2.011475,0.219480,-1.936966,0.001374,2.049269,0.214125,-2.010945,0.697139,2.082861,0.214711,-1.979429,0.788469,1.938559,0.224446,-1.894019,0.659274,1.975211,0.224639,-1.863469,0.803116,,,,,,,,,,,,,,,,,,,,,2.050011,0.213973,-2.011842,2.083447,0.214714,-1.979980,1.937672,0.224623,-1.892954,1.974669,0.224631,-1.862967,,,,,,,,,,,,,,,,,,,,,
25,0.208333,-0.008541,0.369445,-0.000141,-0.929213,2.011508,0.219457,-1.936993,0.001389,2.049294,0.214097,-2.010976,0.705956,2.082889,0.214677,-1.979463,0.789059,1.938598,0.224435,-1.894039,0.663151,1.975253,0.224620,-1.863493,0.805725,,,,,,,,,,,,,,,,,,,,,2.050036,0.213965,-2.011879,2.083503,0.214664,-1.980041,1.937749,0.224583,-1.893003,1.974680,0.224629,-1.862967,,,,,,,,,,,,,,,,,,,,,
26,0.216667,-0.008486,0.369465,-0.000244,-0.929206,2.011509,0.219459,-1.936988,0.001400,2.049298,0.214091,-2.010969,0.704013,2.082892,0.214682,-1.979455,0.789823,1.938596,0.224433,-1.894039,0.650822,1.975249,0.224630,-1.863491,0.808538,,,,,,,,,,,,,,,,,,,,,2.050044,0.213951,-2.011878,2.083505,0.214674,-1.980030,1.937707,0.224595,-1.892973,1.974691,0.224633,-1.862967,,,,,,,,,,,,,,,,,,,,,
